0,tcp,SF,121,174,1,1,anomaly
0,tcp,RSTR,0,0,1,1,normal
281,tcp,SF,158,595,1,1,anomaly
7469,tcp,SF,0,44,1,1,anomaly
0,tcp,SF,322,1689,10,10,normal
0,tcp,SF,241,590,3,4,normal
0,tcp,SF,120,174,1,1,anomaly
0,tcp,SF,54540,8314,3,4,anomaly
0,tcp,SF,217,24911,1,1,normal
0,udp,SF,105,146,1,1,anomaly
0,tcp,RSTO,0,0,111,5,anomaly
0,tcp,SF,204,616,6,32,normal
0,tcp,SF,231,12028,6,6,normal
0,tcp,SF,1410,480,1,2,normal
0,tcp,REJ,0,0,4,9,anomaly
0,tcp,SF,315,4485,3,3,normal
0,udp,SF,52,49,503,503,normal
0,icmp,SF,520,0,264,264,anomaly
0,tcp,SF,364,14744,20,20,normal
0,tcp,REJ,0,0,278,20,anomaly
0,tcp,SF,205,809,5,7,normal
0,tcp,SF,313,735,7,7,normal
0,udp,SF,43,0,1,1,anomaly
0,tcp,REJ,0,0,252,8,anomaly
1,tcp,SF,2599,293,3,3,anomaly
0,udp,SF,44,44,92,92,normal
0,tcp,SF,30,217,1,1,anomaly
0,tcp,S0,0,0,121,11,anomaly
0,tcp,SF,6259,335,1,1,normal
0,tcp,SF,238,1738,9,9,normal
0,tcp,SF,245,676,3,3,normal
0,tcp,RSTO,0,0,266,4,anomaly
0,tcp,SF,8766,0,6,6,normal
0,tcp,S0,0,0,160,12,anomaly
1,tcp,SF,2599,293,3,3,anomaly
0,tcp,SF,228,638,2,2,normal
0,tcp,SF,225,243,9,10,normal
0,tcp,REJ,0,0,31,20,anomaly
0,tcp,SF,329,774,25,25,normal
0,tcp,REJ,0,0,398,1,anomaly
909,tcp,RSTR,1024,0,78,78,anomaly
0,tcp,S0,0,0,210,3,anomaly
0,tcp,SF,328,1302,19,19,normal
0,tcp,SF,207,267,7,27,normal
0,tcp,S0,0,0,142,6,anomaly
0,tcp,SF,212,280,5,8,normal
0,tcp,SF,229,2494,10,10,normal
0,tcp,S0,0,0,236,4,anomaly
0,tcp,SF,218,2894,1,21,normal
0,tcp,SF,224,2899,17,17,normal
0,tcp,REJ,0,0,120,6,anomaly
0,tcp,S0,0,0,187,19,anomaly
0,tcp,SF,282,41575,3,46,normal
0,tcp,RSTO,0,0,13,3,anomaly
0,tcp,SF,178,14515,7,7,normal
0,udp,SF,46,78,142,142,normal
0,tcp,REJ,0,0,134,13,anomaly
2873,udp,SF,146,105,1,1,normal
0,tcp,SF,226,467,28,29,normal
0,udp,SF,28,0,40,40,normal
0,icmp,SF,8,0,1,1,anomaly
0,tcp,REJ,0,0,263,14,anomaly
4,tcp,SF,28,93,1,1,anomaly
7348,tcp,SF,0,44,1,1,anomaly
0,tcp,SF,297,446,33,33,normal
0,icmp,SF,8,0,1,3,anomaly
0,tcp,SF,234,7351,9,9,normal
0,tcp,SF,224,5320,28,35,normal
0,udp,SF,105,0,3,3,normal
