tcp,121,174,1,anomaly
tcp,0,0,1,normal
tcp,158,595,1,anomaly
tcp,0,44,1,anomaly
tcp,322,1689,10,normal
tcp,241,590,3,normal
tcp,120,174,1,anomaly
tcp,54540,8314,3,anomaly
tcp,217,24911,1,normal
udp,105,146,1,anomaly
tcp,0,0,111,anomaly
tcp,204,616,6,normal
tcp,231,12028,6,normal
tcp,1410,480,1,normal
tcp,0,0,4,anomaly
tcp,315,4485,3,normal
udp,52,49,503,normal
icmp,520,0,264,anomaly
tcp,364,14744,20,normal
tcp,0,0,278,anomaly
tcp,205,809,5,normal
tcp,313,735,7,normal
udp,43,0,1,anomaly
tcp,0,0,252,anomaly
tcp,2599,293,3,anomaly
udp,44,44,92,normal
tcp,30,217,1,anomaly
tcp,0,0,121,anomaly
tcp,6259,335,1,normal
tcp,238,1738,9,normal
tcp,245,676,3,normal
tcp,0,0,266,anomaly
tcp,8766,0,6,normal
tcp,0,0,160,anomaly
tcp,2599,293,3,anomaly
tcp,228,638,2,normal
tcp,225,243,9,normal
tcp,0,0,31,anomaly
tcp,329,774,25,normal
tcp,0,0,398,anomaly
tcp,1024,0,78,anomaly
tcp,0,0,210,anomaly
tcp,328,1302,19,normal
tcp,207,267,7,normal
tcp,0,0,142,anomaly
tcp,212,280,5,normal
tcp,229,2494,10,normal
tcp,0,0,236,anomaly
tcp,218,2894,1,normal
tcp,224,2899,17,normal
tcp,0,0,120,anomaly
tcp,0,0,187,anomaly
tcp,282,41575,3,normal
tcp,0,0,13,anomaly
tcp,178,14515,7,normal
udp,46,78,142,normal
tcp,0,0,134,anomaly
udp,146,105,1,normal
tcp,226,467,28,normal
udp,28,0,40,normal
icmp,8,0,1,anomaly
tcp,0,0,263,anomaly
tcp,28,93,1,anomaly
tcp,0,44,1,anomaly
tcp,297,446,33,normal
icmp,8,0,1,anomaly
tcp,234,7351,9,normal
tcp,224,5320,28,normal
udp,105,0,3,normal
udp,0,0,1,anomaly
icmp,508,0,511,anomaly
tcp,0,0,1,anomaly
tcp,190,296,19,normal
udp,53,50,193,normal
udp,105,146,1,normal
tcp,213,8477,1,normal
tcp,204,2948,3,normal
tcp,0,0,64,anomaly
tcp,0,44,1,anomaly
tcp,0,0,206,anomaly
tcp,1024,0,52,anomaly
tcp,0,0,107,anomaly
tcp,0,0,1,anomaly
tcp,0,15,1,anomaly
tcp,0,0,1,anomaly
tcp,0,0,112,anomaly
tcp,224,489,10,normal
tcp,0,0,222,anomaly
tcp,62344,0,89,anomaly
udp,46,135,73,normal
udp,43,0,4,anomaly
tcp,0,0,30,anomaly
tcp,220,1212,7,normal
tcp,0,44,1,anomaly
tcp,297,8526,1,normal
tcp,0,44,1,anomaly
tcp,0,44,1,anomaly
tcp,154,300,1,anomaly
udp,54,50,461,normal
tcp,0,0,1,anomaly
tcp,54540,8314,2,anomaly
icmp,1032,0,511,anomaly
tcp,0,0,34,anomaly
udp,45,45,88,normal
tcp,0,0,217,anomaly
tcp,12,0,1,anomaly
tcp,195,27119,1,normal
tcp,60884,0,29,anomaly
tcp,28,93,1,anomaly
tcp,0,0,236,anomaly
udp,1,0,21,anomaly
tcp,0,0,102,anomaly
tcp,7,225,1,normal
tcp,304,1000,10,normal
tcp,298,1267,4,normal
tcp,0,0,216,anomaly
udp,43,43,143,normal
tcp,0,0,113,anomaly
tcp,0,0,399,anomaly
tcp,181,11444,6,normal
udp,1,1,10,anomaly
tcp,0,0,222,anomaly
tcp,0,0,106,anomaly
icmp,1008,0,164,anomaly
tcp,30,93,1,anomaly
tcp,0,44,1,anomaly
tcp,164,599,1,anomaly
tcp,0,0,1,anomaly
tcp,54540,8314,4,anomaly
tcp,268,464,7,normal
tcp,0,0,256,anomaly
tcp,345,9712,4,normal
tcp,0,0,243,anomaly
tcp,0,0,4,anomaly
tcp,2599,293,3,anomaly
tcp,212,8676,25,normal
icmp,508,0,511,anomaly
icmp,1480,0,1,anomaly
tcp,0,0,139,anomaly
tcp,8173,0,15,normal
tcp,311,416,16,normal
udp,42,0,1,anomaly
tcp,0,0,119,anomaly
tcp,0,0,200,anomaly
tcp,298,2614,7,normal
tcp,213,834,6,normal
tcp,243,13382,13,normal
tcp,0,0,510,anomaly
tcp,209,330,12,normal
tcp,203,0,1,normal
tcp,30,93,1,anomaly
tcp,238,17015,4,normal
tcp,28,93,1,anomaly
tcp,0,0,247,anomaly
tcp,0,44,1,anomaly
udp,146,105,1,normal
tcp,0,0,250,anomaly
tcp,293,682,25,normal
tcp,0,0,198,anomaly
tcp,0,0,112,anomaly
tcp,258,31760,1,normal
udp,48,48,1,normal
tcp,218,11135,6,normal
udp,1,1,82,anomaly
tcp,0,0,14,anomaly
tcp,0,0,131,anomaly
tcp,157,594,1,anomaly
tcp,0,44,1,anomaly
tcp,2851,334,1,normal
tcp,268,9235,5,normal
tcp,0,0,190,anomaly
tcp,0,0,298,anomaly
icmp,1032,0,301,anomaly
tcp,307,1219,19,normal
udp,42,108,1,normal
tcp,233,581,24,normal
tcp,1503,337,1,normal
tcp,0,44,1,anomaly
udp,46,0,3,anomaly
tcp,0,0,481,anomaly
tcp,335,314,13,normal
tcp,12,0,1,anomaly
icmp,1032,0,297,anomaly
tcp,0,0,178,anomaly
tcp,354,2650,10,normal
tcp,29824,0,44,anomaly
tcp,54540,8314,4,anomaly
tcp,218,315,6,normal
tcp,289,1100,20,normal
icmp,18,0,1,anomaly
tcp,339,1218,3,normal
tcp,196,9297,2,normal
udp,41,131,107,normal
tcp,0,0,125,anomaly
tcp,282,765,5,normal
tcp,0,0,3,anomaly
tcp,511,6839,1,normal
udp,36,0,12,normal
tcp,0,0,148,anomaly
tcp,122,174,1,anomaly
tcp,60884,0,50,anomaly
tcp,211,3926,11,normal
tcp,211,578,36,normal
tcp,229,2507,4,normal
udp,44,81,138,normal
tcp,0,0,128,anomaly
tcp,0,0,105,anomaly
tcp,283618,0,2,anomaly
tcp,0,44,1,anomaly
tcp,198,474,5,normal
tcp,303,16759,12,normal
tcp,305,2239,6,normal
tcp,311,1535,2,normal
tcp,291,485,5,normal
tcp,30,217,1,anomaly
tcp,254,1529,9,normal
tcp,294,10772,3,normal
tcp,0,0,224,anomaly
udp,105,105,1,anomaly
udp,1,26,13,normal
udp,46,151,75,normal
tcp,0,0,140,anomaly
tcp,0,0,220,anomaly
tcp,2783,15242,1,anomaly
tcp,0,44,1,anomaly
tcp,253,5924,2,normal
tcp,231,10053,1,normal
tcp,240,581,14,normal
tcp,239,3990,2,normal
tcp,0,0,103,anomaly
tcp,329,1604,1,normal
tcp,33580,2920,4,anomaly
udp,45,45,14,normal
tcp,252,1159,4,normal
tcp,310,4898,5,normal
icmp,520,0,509,anomaly
tcp,219,2049,63,normal
udp,44,44,125,normal
tcp,209,1251,15,normal
tcp,250,1565,3,normal
tcp,0,85,1,normal
tcp,282,2120,2,normal
tcp,230,1387,6,normal
tcp,230,25991,2,normal
tcp,234,6740,16,normal
tcp,0,44,1,anomaly
tcp,0,0,262,anomaly
tcp,286,610,5,normal
tcp,195,4683,3,normal
udp,41,0,3,anomaly
tcp,0,0,146,anomaly
icmp,1032,0,511,anomaly
tcp,220,502,3,normal
tcp,32,93,1,anomaly
tcp,307,1215,13,normal
tcp,1439,4152,1,normal
tcp,210,8716,7,normal
tcp,0,0,126,anomaly
tcp,0,0,215,anomaly
icmp,520,0,511,anomaly
tcp,10925,920,1,normal
tcp,0,0,240,anomaly
tcp,210,1778,8,normal
tcp,0,0,3,anomaly
tcp,0,0,299,anomaly
udp,44,44,162,normal
tcp,383,0,1,normal
tcp,158,595,1,anomaly
tcp,54540,8314,6,anomaly
tcp,0,0,237,anomaly
tcp,225,1972,11,normal
tcp,0,0,157,anomaly
tcp,0,0,233,anomaly
tcp,162,599,1,anomaly
tcp,286,4152,5,normal
tcp,188,294,7,normal
udp,48,0,3,anomaly
tcp,0,44,1,anomaly
udp,54,53,511,normal
tcp,283,2170,15,normal
tcp,0,0,240,anomaly
tcp,0,0,1,anomaly
tcp,382,2395,8,normal
tcp,329,914,5,normal
tcp,45260,2920,3,anomaly
udp,44,133,109,normal
tcp,231,2507,5,normal
udp,44,112,1,normal
tcp,0,0,453,anomaly
tcp,254,7083,10,normal
tcp,0,0,246,anomaly
udp,54,54,510,normal
tcp,209,184,31,normal
tcp,292,656,17,normal
udp,43,131,148,normal
tcp,0,0,59,anomaly
icmp,20,0,1,anomaly
tcp,26,93,1,anomaly
tcp,0,0,104,anomaly
tcp,295,4184,16,normal
icmp,18,0,1,anomaly
tcp,161,599,3,anomaly
tcp,298,463,1,normal
tcp,0,0,270,anomaly
tcp,206,5435,3,normal
tcp,283618,0,2,anomaly
tcp,0,0,1,anomaly
tcp,295,2326,10,normal
tcp,0,0,299,anomaly
tcp,0,0,1,anomaly
tcp,1083,332,1,normal
udp,54,52,427,normal
tcp,0,0,118,anomaly
tcp,0,0,197,anomaly
icmp,64,0,1,normal
udp,45,132,1,normal
tcp,0,15,1,anomaly
tcp,203,670,13,normal
tcp,288,1010,34,normal
udp,45,45,2,anomaly
tcp,305,1015,40,normal
tcp,226,8825,14,normal
tcp,16787,0,8,normal
tcp,0,0,491,anomaly
tcp,1439,328,1,normal
tcp,160,595,1,anomaly
tcp,930,0,1,normal
tcp,0,0,458,anomaly
tcp,247,3331,25,normal
tcp,0,0,159,anomaly
tcp,0,0,150,anomaly
udp,52,49,511,normal
icmp,1032,0,425,anomaly
tcp,740,0,2,normal
udp,44,44,8,normal
tcp,0,0,216,anomaly
tcp,0,0,120,anomaly
tcp,0,0,287,anomaly
tcp,296,1342,30,normal
tcp,0,0,270,anomaly
tcp,0,15,1,anomaly
tcp,0,44,1,anomaly
tcp,285,10216,2,normal
tcp,2190,331,1,normal
tcp,317,6057,4,normal
