0,tcp,121,174,1,1,anomaly
0,tcp,0,0,1,1,normal
281,tcp,158,595,1,1,anomaly
7469,tcp,0,44,1,1,anomaly
0,tcp,322,1689,10,10,normal
0,tcp,241,590,3,4,normal
0,tcp,120,174,1,1,anomaly
0,tcp,54540,8314,3,4,anomaly
0,tcp,217,24911,1,1,normal
0,udp,105,146,1,1,anomaly
0,tcp,0,0,111,5,anomaly
0,tcp,204,616,6,32,normal
0,tcp,231,12028,6,6,normal
0,tcp,1410,480,1,2,normal
0,tcp,0,0,4,9,anomaly
0,tcp,315,4485,3,3,normal
0,udp,52,49,503,503,normal
0,icmp,520,0,264,264,anomaly
0,tcp,364,14744,20,20,normal
0,tcp,0,0,278,20,anomaly
0,tcp,205,809,5,7,normal
0,tcp,313,735,7,7,normal
0,udp,43,0,1,1,anomaly
0,tcp,0,0,252,8,anomaly
1,tcp,2599,293,3,3,anomaly
0,udp,44,44,92,92,normal
0,tcp,30,217,1,1,anomaly
0,tcp,0,0,121,11,anomaly
0,tcp,6259,335,1,1,normal
0,tcp,238,1738,9,9,normal
0,tcp,245,676,3,3,normal
0,tcp,0,0,266,4,anomaly
0,tcp,8766,0,6,6,normal
0,tcp,0,0,160,12,anomaly
1,tcp,2599,293,3,3,anomaly
0,tcp,228,638,2,2,normal
0,tcp,225,243,9,10,normal
0,tcp,0,0,31,20,anomaly
0,tcp,329,774,25,25,normal
0,tcp,0,0,398,1,anomaly
909,tcp,1024,0,78,78,anomaly
0,tcp,0,0,210,3,anomaly
0,tcp,328,1302,19,19,normal
0,tcp,207,267,7,27,normal
0,tcp,0,0,142,6,anomaly
0,tcp,212,280,5,8,normal
0,tcp,229,2494,10,10,normal
0,tcp,0,0,236,4,anomaly
0,tcp,218,2894,1,21,normal
0,tcp,224,2899,17,17,normal
0,tcp,0,0,120,6,anomaly
0,tcp,0,0,187,19,anomaly
0,tcp,282,41575,3,46,normal
0,tcp,0,0,13,3,anomaly
0,tcp,178,14515,7,7,normal
0,udp,46,78,142,142,normal
0,tcp,0,0,134,13,anomaly
2873,udp,146,105,1,1,normal
0,tcp,226,467,28,29,normal
0,udp,28,0,40,40,normal
0,icmp,8,0,1,1,anomaly
0,tcp,0,0,263,14,anomaly
4,tcp,28,93,1,1,anomaly
7348,tcp,0,44,1,1,anomaly
0,tcp,297,446,33,33,normal
