tcp,121,174,anomaly
tcp,0,0,normal
tcp,158,595,anomaly
tcp,0,44,anomaly
tcp,322,1689,normal
tcp,241,590,normal
tcp,120,174,anomaly
tcp,54540,8314,anomaly
tcp,217,24911,normal
udp,105,146,anomaly
tcp,0,0,anomaly
tcp,204,616,normal
tcp,231,12028,normal
tcp,1410,480,normal
tcp,0,0,anomaly
tcp,315,4485,normal
udp,52,49,normal
icmp,520,0,anomaly
tcp,364,14744,normal
tcp,0,0,anomaly
tcp,205,809,normal
tcp,313,735,normal
udp,43,0,anomaly
tcp,0,0,anomaly
tcp,2599,293,anomaly
udp,44,44,normal
tcp,30,217,anomaly
tcp,0,0,anomaly
tcp,6259,335,normal
tcp,238,1738,normal
tcp,245,676,normal
tcp,0,0,anomaly
tcp,8766,0,normal
tcp,0,0,anomaly
tcp,2599,293,anomaly
tcp,228,638,normal
tcp,225,243,normal
tcp,0,0,anomaly
tcp,329,774,normal
tcp,0,0,anomaly
tcp,1024,0,anomaly
tcp,0,0,anomaly
tcp,328,1302,normal
tcp,207,267,normal
tcp,0,0,anomaly
tcp,212,280,normal
tcp,229,2494,normal
tcp,0,0,anomaly
tcp,218,2894,normal
tcp,224,2899,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,282,41575,normal
tcp,0,0,anomaly
tcp,178,14515,normal
udp,46,78,normal
tcp,0,0,anomaly
udp,146,105,normal
tcp,226,467,normal
udp,28,0,normal
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,28,93,anomaly
tcp,0,44,anomaly
tcp,297,446,normal
icmp,8,0,anomaly
tcp,234,7351,normal
tcp,224,5320,normal
udp,105,0,normal
udp,0,0,anomaly
icmp,508,0,anomaly
tcp,0,0,anomaly
tcp,190,296,normal
udp,53,50,normal
udp,105,146,normal
tcp,213,8477,normal
tcp,204,2948,normal
tcp,0,0,anomaly
tcp,0,44,anomaly
tcp,0,0,anomaly
tcp,1024,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,15,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,224,489,normal
tcp,0,0,anomaly
tcp,62344,0,anomaly
udp,46,135,normal
udp,43,0,anomaly
tcp,0,0,anomaly
tcp,220,1212,normal
tcp,0,44,anomaly
tcp,297,8526,normal
tcp,0,44,anomaly
tcp,0,44,anomaly
tcp,154,300,anomaly
udp,54,50,normal
tcp,0,0,anomaly
tcp,54540,8314,anomaly
icmp,1032,0,anomaly
tcp,0,0,anomaly
udp,45,45,normal
tcp,0,0,anomaly
tcp,12,0,anomaly
tcp,195,27119,normal
tcp,60884,0,anomaly
tcp,28,93,anomaly
tcp,0,0,anomaly
udp,1,0,anomaly
tcp,0,0,anomaly
tcp,7,225,normal
tcp,304,1000,normal
tcp,298,1267,normal
tcp,0,0,anomaly
udp,43,43,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,181,11444,normal
udp,1,1,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
icmp,1008,0,anomaly
tcp,30,93,anomaly
tcp,0,44,anomaly
tcp,164,599,anomaly
tcp,0,0,anomaly
tcp,54540,8314,anomaly
tcp,268,464,normal
tcp,0,0,anomaly
tcp,345,9712,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,2599,293,anomaly
tcp,212,8676,normal
icmp,508,0,anomaly
icmp,1480,0,anomaly
tcp,0,0,anomaly
tcp,8173,0,normal
tcp,311,416,normal
udp,42,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,298,2614,normal
tcp,213,834,normal
tcp,243,13382,normal
tcp,0,0,anomaly
tcp,209,330,normal
tcp,203,0,normal
tcp,30,93,anomaly
tcp,238,17015,normal
tcp,28,93,anomaly
tcp,0,0,anomaly
tcp,0,44,anomaly
udp,146,105,normal
tcp,0,0,anomaly
tcp,293,682,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,258,31760,normal
udp,48,48,normal
tcp,218,11135,normal
udp,1,1,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,157,594,anomaly
tcp,0,44,anomaly
tcp,2851,334,normal
tcp,268,9235,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
icmp,1032,0,anomaly
tcp,307,1219,normal
udp,42,108,normal
tcp,233,581,normal
tcp,1503,337,normal
tcp,0,44,anomaly
udp,46,0,anomaly
tcp,0,0,anomaly
tcp,335,314,normal
tcp,12,0,anomaly
icmp,1032,0,anomaly
tcp,0,0,anomaly
tcp,354,2650,normal
tcp,29824,0,anomaly
tcp,54540,8314,anomaly
tcp,218,315,normal
tcp,289,1100,normal
icmp,18,0,anomaly
tcp,339,1218,normal
tcp,196,9297,normal
udp,41,131,normal
tcp,0,0,anomaly
tcp,282,765,normal
tcp,0,0,anomaly
tcp,511,6839,normal
udp,36,0,normal
tcp,0,0,anomaly
