121,174,anomaly
0,0,normal
158,595,anomaly
0,44,anomaly
322,1689,normal
241,590,normal
120,174,anomaly
54540,8314,anomaly
217,24911,normal
105,146,anomaly
0,0,anomaly
204,616,normal
231,12028,normal
1410,480,normal
0,0,anomaly
315,4485,normal
52,49,normal
520,0,anomaly
364,14744,normal
0,0,anomaly
205,809,normal
313,735,normal
43,0,anomaly
0,0,anomaly
2599,293,anomaly
44,44,normal
30,217,anomaly
0,0,anomaly
6259,335,normal
238,1738,normal
245,676,normal
0,0,anomaly
8766,0,normal
0,0,anomaly
2599,293,anomaly
228,638,normal
225,243,normal
0,0,anomaly
329,774,normal
0,0,anomaly
1024,0,anomaly
0,0,anomaly
328,1302,normal
207,267,normal
0,0,anomaly
212,280,normal
229,2494,normal
0,0,anomaly
218,2894,normal
224,2899,normal
0,0,anomaly
0,0,anomaly
282,41575,normal
0,0,anomaly
178,14515,normal
46,78,normal
0,0,anomaly
146,105,normal
226,467,normal
28,0,normal
8,0,anomaly
0,0,anomaly
28,93,anomaly
0,44,anomaly
297,446,normal
8,0,anomaly
234,7351,normal
224,5320,normal
105,0,normal
0,0,anomaly
508,0,anomaly
0,0,anomaly
190,296,normal
53,50,normal
105,146,normal
213,8477,normal
204,2948,normal
0,0,anomaly
0,44,anomaly
0,0,anomaly
1024,0,anomaly
0,0,anomaly
0,0,anomaly
0,15,anomaly
0,0,anomaly
0,0,anomaly
224,489,normal
0,0,anomaly
62344,0,anomaly
46,135,normal
43,0,anomaly
0,0,anomaly
220,1212,normal
0,44,anomaly
297,8526,normal
0,44,anomaly
0,44,anomaly
154,300,anomaly
54,50,normal
0,0,anomaly
54540,8314,anomaly
1032,0,anomaly
0,0,anomaly
45,45,normal
0,0,anomaly
12,0,anomaly
195,27119,normal
60884,0,anomaly
28,93,anomaly
0,0,anomaly
1,0,anomaly
0,0,anomaly
7,225,normal
304,1000,normal
298,1267,normal
0,0,anomaly
43,43,normal
0,0,anomaly
0,0,anomaly
181,11444,normal
1,1,anomaly
0,0,anomaly
0,0,anomaly
1008,0,anomaly
30,93,anomaly
0,44,anomaly
164,599,anomaly
0,0,anomaly
54540,8314,anomaly
268,464,normal
0,0,anomaly
345,9712,normal
0,0,anomaly
0,0,anomaly
2599,293,anomaly
212,8676,normal
508,0,anomaly
1480,0,anomaly
0,0,anomaly
8173,0,normal
311,416,normal
42,0,anomaly
0,0,anomaly
0,0,anomaly
298,2614,normal
213,834,normal
243,13382,normal
0,0,anomaly
209,330,normal
203,0,normal
30,93,anomaly
238,17015,normal
28,93,anomaly
0,0,anomaly
0,44,anomaly
146,105,normal
0,0,anomaly
293,682,normal
0,0,anomaly
0,0,anomaly
258,31760,normal
48,48,normal
218,11135,normal
1,1,anomaly
0,0,anomaly
0,0,anomaly
157,594,anomaly
0,44,anomaly
2851,334,normal
268,9235,normal
0,0,anomaly
0,0,anomaly
1032,0,anomaly
307,1219,normal
42,108,normal
233,581,normal
1503,337,normal
0,44,anomaly
46,0,anomaly
0,0,anomaly
335,314,normal
12,0,anomaly
1032,0,anomaly
0,0,anomaly
354,2650,normal
29824,0,anomaly
54540,8314,anomaly
218,315,normal
289,1100,normal
18,0,anomaly
339,1218,normal
196,9297,normal
41,131,normal
0,0,anomaly
282,765,normal
0,0,anomaly
511,6839,normal
36,0,normal
0,0,anomaly
122,174,anomaly
60884,0,anomaly
211,3926,normal
211,578,normal
229,2507,normal
44,81,normal
0,0,anomaly
0,0,anomaly
283618,0,anomaly
0,44,anomaly
198,474,normal
303,16759,normal
305,2239,normal
311,1535,normal
291,485,normal
30,217,anomaly
254,1529,normal
294,10772,normal
0,0,anomaly
105,105,anomaly
1,26,normal
46,151,normal
0,0,anomaly
0,0,anomaly
2783,15242,anomaly
0,44,anomaly
253,5924,normal
231,10053,normal
240,581,normal
239,3990,normal
0,0,anomaly
329,1604,normal
33580,2920,anomaly
45,45,normal
252,1159,normal
310,4898,normal
520,0,anomaly
219,2049,normal
44,44,normal
209,1251,normal
250,1565,normal
0,85,normal
282,2120,normal
230,1387,normal
230,25991,normal
234,6740,normal
0,44,anomaly
0,0,anomaly
286,610,normal
195,4683,normal
41,0,anomaly
0,0,anomaly
1032,0,anomaly
220,502,normal
32,93,anomaly
307,1215,normal
1439,4152,normal
210,8716,normal
0,0,anomaly
0,0,anomaly
520,0,anomaly
10925,920,normal
0,0,anomaly
210,1778,normal
0,0,anomaly
0,0,anomaly
44,44,normal
383,0,normal
158,595,anomaly
54540,8314,anomaly
0,0,anomaly
225,1972,normal
0,0,anomaly
0,0,anomaly
162,599,anomaly
286,4152,normal
188,294,normal
48,0,anomaly
0,44,anomaly
54,53,normal
283,2170,normal
0,0,anomaly
0,0,anomaly
382,2395,normal
329,914,normal
45260,2920,anomaly
44,133,normal
231,2507,normal
44,112,normal
0,0,anomaly
254,7083,normal
0,0,anomaly
54,54,normal
209,184,normal
292,656,normal
43,131,normal
0,0,anomaly
20,0,anomaly
26,93,anomaly
0,0,anomaly
295,4184,normal
18,0,anomaly
161,599,anomaly
298,463,normal
0,0,anomaly
206,5435,normal
283618,0,anomaly
0,0,anomaly
295,2326,normal
0,0,anomaly
0,0,anomaly
1083,332,normal
54,52,normal
0,0,anomaly
0,0,anomaly
64,0,normal
45,132,normal
0,15,anomaly
203,670,normal
288,1010,normal
45,45,anomaly
305,1015,normal
226,8825,normal
16787,0,normal
0,0,anomaly
1439,328,normal
160,595,anomaly
930,0,normal
0,0,anomaly
247,3331,normal
0,0,anomaly
0,0,anomaly
52,49,normal
1032,0,anomaly
740,0,normal
44,44,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
296,1342,normal
0,0,anomaly
0,15,anomaly
0,44,anomaly
285,10216,normal
2190,331,normal
317,6057,normal
182,14976,normal
0,0,anomaly
304,1380,normal
0,44,anomaly
0,0,anomaly
199,5200,normal
762,332,normal
0,0,anomaly
43,132,normal
0,0,anomaly
0,0,anomaly
313,368,normal
0,0,anomaly
0,0,anomaly
313,3037,normal
