tcp,121,174,1,1,anomaly
tcp,0,0,1,1,normal
tcp,158,595,1,1,anomaly
tcp,0,44,1,1,anomaly
tcp,322,1689,10,10,normal
tcp,241,590,3,4,normal
tcp,120,174,1,1,anomaly
tcp,54540,8314,3,4,anomaly
tcp,217,24911,1,1,normal
udp,105,146,1,1,anomaly
tcp,0,0,111,5,anomaly
tcp,204,616,6,32,normal
tcp,231,12028,6,6,normal
tcp,1410,480,1,2,normal
tcp,0,0,4,9,anomaly
tcp,315,4485,3,3,normal
udp,52,49,503,503,normal
icmp,520,0,264,264,anomaly
tcp,364,14744,20,20,normal
tcp,0,0,278,20,anomaly
tcp,205,809,5,7,normal
tcp,313,735,7,7,normal
udp,43,0,1,1,anomaly
tcp,0,0,252,8,anomaly
tcp,2599,293,3,3,anomaly
udp,44,44,92,92,normal
tcp,30,217,1,1,anomaly
tcp,0,0,121,11,anomaly
tcp,6259,335,1,1,normal
tcp,238,1738,9,9,normal
tcp,245,676,3,3,normal
tcp,0,0,266,4,anomaly
tcp,8766,0,6,6,normal
tcp,0,0,160,12,anomaly
tcp,2599,293,3,3,anomaly
tcp,228,638,2,2,normal
tcp,225,243,9,10,normal
tcp,0,0,31,20,anomaly
tcp,329,774,25,25,normal
tcp,0,0,398,1,anomaly
tcp,1024,0,78,78,anomaly
tcp,0,0,210,3,anomaly
tcp,328,1302,19,19,normal
tcp,207,267,7,27,normal
tcp,0,0,142,6,anomaly
tcp,212,280,5,8,normal
tcp,229,2494,10,10,normal
tcp,0,0,236,4,anomaly
tcp,218,2894,1,21,normal
tcp,224,2899,17,17,normal
tcp,0,0,120,6,anomaly
tcp,0,0,187,19,anomaly
tcp,282,41575,3,46,normal
tcp,0,0,13,3,anomaly
tcp,178,14515,7,7,normal
udp,46,78,142,142,normal
tcp,0,0,134,13,anomaly
udp,146,105,1,1,normal
tcp,226,467,28,29,normal
udp,28,0,40,40,normal
icmp,8,0,1,1,anomaly
tcp,0,0,263,14,anomaly
tcp,28,93,1,1,anomaly
tcp,0,44,1,1,anomaly
tcp,297,446,33,33,normal
icmp,8,0,1,3,anomaly
tcp,234,7351,9,9,normal
tcp,224,5320,28,35,normal
udp,105,0,3,3,normal
udp,0,0,1,1,anomaly
icmp,508,0,511,511,anomaly
tcp,0,0,1,1,anomaly
tcp,190,296,19,23,normal
udp,53,50,193,193,normal
udp,105,146,1,1,normal
tcp,213,8477,1,4,normal
tcp,204,2948,3,3,normal
tcp,0,0,64,1,anomaly
tcp,0,44,1,1,anomaly
tcp,0,0,206,15,anomaly
tcp,1024,0,52,52,anomaly
tcp,0,0,107,17,anomaly
tcp,0,0,1,5,anomaly
tcp,0,15,1,1,anomaly
tcp,0,0,1,11,anomaly
tcp,0,0,112,13,anomaly
tcp,224,489,10,16,normal
tcp,0,0,222,18,anomaly
tcp,62344,0,89,89,anomaly
udp,46,135,73,153,normal
udp,43,0,4,4,anomaly
tcp,0,0,30,10,anomaly
tcp,220,1212,7,38,normal
tcp,0,44,1,1,anomaly
tcp,297,8526,1,16,normal
tcp,0,44,1,1,anomaly
tcp,0,44,1,1,anomaly
tcp,154,300,1,1,anomaly
udp,54,50,461,461,normal
tcp,0,0,1,4,anomaly
tcp,54540,8314,2,2,anomaly
icmp,1032,0,511,511,anomaly
tcp,0,0,34,34,anomaly
udp,45,45,88,152,normal
tcp,0,0,217,1,anomaly
tcp,12,0,1,1,anomaly
tcp,195,27119,1,1,normal
tcp,60884,0,29,29,anomaly
tcp,28,93,1,1,anomaly
tcp,0,0,236,16,anomaly
udp,1,0,21,1,anomaly
tcp,0,0,102,13,anomaly
tcp,7,225,1,1,normal
tcp,304,1000,10,10,normal
tcp,298,1267,4,18,normal
tcp,0,0,216,6,anomaly
udp,43,43,143,221,normal
tcp,0,0,113,20,anomaly
tcp,0,0,399,1,anomaly
tcp,181,11444,6,6,normal
udp,1,1,10,9,anomaly
tcp,0,0,222,16,anomaly
tcp,0,0,106,9,anomaly
icmp,1008,0,164,164,anomaly
tcp,30,93,1,1,anomaly
tcp,0,44,1,1,anomaly
tcp,164,599,1,1,anomaly
tcp,0,0,1,1,anomaly
tcp,54540,8314,4,5,anomaly
tcp,268,464,7,7,normal
tcp,0,0,256,4,anomaly
tcp,345,9712,4,24,normal
tcp,0,0,243,3,anomaly
tcp,0,0,4,4,anomaly
tcp,2599,293,3,3,anomaly
tcp,212,8676,25,26,normal
icmp,508,0,511,511,anomaly
icmp,1480,0,1,3,anomaly
tcp,0,0,139,12,anomaly
tcp,8173,0,15,15,normal
tcp,311,416,16,16,normal
udp,42,0,1,1,anomaly
tcp,0,0,119,20,anomaly
tcp,0,0,200,5,anomaly
tcp,298,2614,7,8,normal
tcp,213,834,6,6,normal
tcp,243,13382,13,13,normal
tcp,0,0,510,1,anomaly
tcp,209,330,12,12,normal
tcp,203,0,1,1,normal
tcp,30,93,1,1,anomaly
tcp,238,17015,4,5,normal
tcp,28,93,1,1,anomaly
tcp,0,0,247,8,anomaly
tcp,0,44,1,1,anomaly
udp,146,105,1,1,normal
tcp,0,0,250,12,anomaly
tcp,293,682,25,26,normal
tcp,0,0,198,1,anomaly
tcp,0,0,112,4,anomaly
tcp,258,31760,1,1,normal
udp,48,48,1,1,normal
tcp,218,11135,6,9,normal
udp,1,1,82,1,anomaly
tcp,0,0,14,14,anomaly
tcp,0,0,131,4,anomaly
tcp,157,594,1,1,anomaly
tcp,0,44,1,1,anomaly
tcp,2851,334,1,3,normal
tcp,268,9235,5,5,normal
tcp,0,0,190,14,anomaly
tcp,0,0,298,17,anomaly
icmp,1032,0,301,301,anomaly
tcp,307,1219,19,19,normal
udp,42,108,1,1,normal
tcp,233,581,24,24,normal
tcp,1503,337,1,1,normal
tcp,0,44,1,1,anomaly
udp,46,0,3,3,anomaly
tcp,0,0,481,1,anomaly
tcp,335,314,13,13,normal
tcp,12,0,1,1,anomaly
icmp,1032,0,297,297,anomaly
tcp,0,0,178,17,anomaly
tcp,354,2650,10,10,normal
tcp,29824,0,44,44,anomaly
tcp,54540,8314,4,4,anomaly
tcp,218,315,6,6,normal
tcp,289,1100,20,20,normal
