174,anomaly
0,normal
595,anomaly
44,anomaly
1689,normal
590,normal
174,anomaly
8314,anomaly
24911,normal
146,anomaly
0,anomaly
616,normal
12028,normal
480,normal
0,anomaly
4485,normal
49,normal
0,anomaly
14744,normal
0,anomaly
809,normal
735,normal
0,anomaly
0,anomaly
293,anomaly
44,normal
217,anomaly
0,anomaly
335,normal
1738,normal
676,normal
0,anomaly
0,normal
0,anomaly
293,anomaly
638,normal
243,normal
0,anomaly
774,normal
0,anomaly
0,anomaly
0,anomaly
1302,normal
267,normal
0,anomaly
280,normal
2494,normal
0,anomaly
2894,normal
2899,normal
0,anomaly
0,anomaly
41575,normal
0,anomaly
14515,normal
78,normal
0,anomaly
105,normal
467,normal
0,normal
0,anomaly
0,anomaly
93,anomaly
44,anomaly
446,normal
0,anomaly
7351,normal
5320,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
296,normal
50,normal
146,normal
8477,normal
2948,normal
0,anomaly
44,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
15,anomaly
0,anomaly
0,anomaly
489,normal
0,anomaly
0,anomaly
135,normal
0,anomaly
0,anomaly
1212,normal
44,anomaly
8526,normal
44,anomaly
44,anomaly
300,anomaly
50,normal
0,anomaly
8314,anomaly
0,anomaly
0,anomaly
45,normal
0,anomaly
0,anomaly
27119,normal
0,anomaly
93,anomaly
0,anomaly
0,anomaly
0,anomaly
225,normal
1000,normal
1267,normal
0,anomaly
43,normal
0,anomaly
0,anomaly
11444,normal
1,anomaly
0,anomaly
0,anomaly
0,anomaly
93,anomaly
44,anomaly
599,anomaly
0,anomaly
8314,anomaly
464,normal
0,anomaly
9712,normal
0,anomaly
0,anomaly
293,anomaly
8676,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
416,normal
0,anomaly
0,anomaly
0,anomaly
2614,normal
834,normal
13382,normal
0,anomaly
330,normal
0,normal
93,anomaly
17015,normal
93,anomaly
0,anomaly
44,anomaly
105,normal
0,anomaly
682,normal
0,anomaly
0,anomaly
31760,normal
48,normal
11135,normal
1,anomaly
0,anomaly
0,anomaly
594,anomaly
44,anomaly
334,normal
9235,normal
0,anomaly
0,anomaly
0,anomaly
1219,normal
108,normal
581,normal
337,normal
44,anomaly
0,anomaly
0,anomaly
314,normal
0,anomaly
0,anomaly
0,anomaly
2650,normal
0,anomaly
8314,anomaly
315,normal
1100,normal
0,anomaly
1218,normal
9297,normal
131,normal
0,anomaly
765,normal
0,anomaly
6839,normal
0,normal
0,anomaly
174,anomaly
0,anomaly
3926,normal
578,normal
2507,normal
81,normal
0,anomaly
0,anomaly
0,anomaly
44,anomaly
474,normal
16759,normal
2239,normal
1535,normal
485,normal
217,anomaly
1529,normal
10772,normal
0,anomaly
105,anomaly
26,normal
151,normal
0,anomaly
0,anomaly
15242,anomaly
44,anomaly
5924,normal
10053,normal
581,normal
3990,normal
0,anomaly
1604,normal
2920,anomaly
45,normal
1159,normal
4898,normal
0,anomaly
2049,normal
44,normal
1251,normal
1565,normal
85,normal
2120,normal
1387,normal
25991,normal
6740,normal
44,anomaly
0,anomaly
610,normal
4683,normal
0,anomaly
0,anomaly
0,anomaly
502,normal
93,anomaly
1215,normal
4152,normal
8716,normal
0,anomaly
0,anomaly
0,anomaly
920,normal
0,anomaly
1778,normal
0,anomaly
0,anomaly
44,normal
0,normal
595,anomaly
8314,anomaly
0,anomaly
1972,normal
0,anomaly
0,anomaly
599,anomaly
4152,normal
294,normal
0,anomaly
44,anomaly
53,normal
2170,normal
0,anomaly
0,anomaly
2395,normal
914,normal
2920,anomaly
133,normal
2507,normal
112,normal
0,anomaly
7083,normal
0,anomaly
54,normal
184,normal
656,normal
131,normal
0,anomaly
0,anomaly
93,anomaly
0,anomaly
4184,normal
0,anomaly
599,anomaly
463,normal
0,anomaly
5435,normal
0,anomaly
0,anomaly
2326,normal
0,anomaly
0,anomaly
332,normal
52,normal
0,anomaly
0,anomaly
0,normal
132,normal
15,anomaly
670,normal
1010,normal
45,anomaly
1015,normal
8825,normal
0,normal
0,anomaly
328,normal
595,anomaly
0,normal
0,anomaly
3331,normal
0,anomaly
0,anomaly
49,normal
0,anomaly
0,normal
44,normal
0,anomaly
0,anomaly
0,anomaly
1342,normal
0,anomaly
15,anomaly
44,anomaly
10216,normal
331,normal
6057,normal
14976,normal
0,anomaly
1380,normal
44,anomaly
0,anomaly
5200,normal
332,normal
